y,x,
-7.51135,112.70787, 
-7.51486,112.70717, 
-7.51615,112.70694, 
-7.51954,112.70604, 
-7.52593,112.70411, 
-7.52819,112.70368, 
-7.52868,112.70327, 
-7.53048,112.70281, 
-7.53211,112.70269, 
-7.53272,112.70305, 
-7.53454,112.70297, 
-7.53468,112.70328, 
-7.5371,112.70336, 
-7.53846,112.70308, 
-7.54017,112.70611, 
-7.54042,112.70862, 
-7.54081,112.70966, 
-7.54068,112.71045, 
-7.54147,112.71093, 
-7.54172,112.71182, 
-7.54171,112.71352, 
-7.54116,112.71413, 
-7.54094,112.71549, 
-7.54199,112.71821, 
-7.54197,112.71865, 
-7.5379,112.71962, 
-7.53686,112.71926, 
-7.5353,112.71875, 
-7.53408,112.71824, 
-7.53392,112.71807, 
-7.5334,112.71977, 
-7.53333,112.72106, 
-7.53262,112.7214, 
-7.52748,112.72273, 
-7.52394,112.7244, 
-7.52505,112.72812, 
-7.52174,112.72946, 
-7.52062,112.72563, 
-7.51984,112.72527, 
-7.51889,112.72229, 
-7.51898,112.72131, 
-7.51568,112.72233, 
-7.51464,112.72218, 
-7.51428,112.72112, 
-7.51373,112.71443, 
-7.51304,112.71331, 
-7.51223,112.71208, 
-7.51216,112.71083, 
-7.51155,112.70993, 
-7.51128,112.70922, 
-7.51135,112.70787, 
